0 0.027832 0.147949 -0.000488281
2 0.0275879 0.150879 -0.000732422
4 0.0266113 0.150635 -0.000732422
6 0.0310059 0.14917 -0.000732422
8 0.0290527 0.144531 -0.000488281
10 0.0270996 0.13916 -0.000488281
12 0.027832 0.135254 -0.000488281
14 0.0273438 0.128662 -0.000488281
16 0.0290527 0.124512 -0.000732422
18 0.027832 0.119385 -0.000732422
20 0.0283203 0.111816 -0.000488281
22 0.0297852 0.107666 -0.000244141
24 0.0288086 0.103027 -0.000488281
26 0.0263672 0.0961914 -0.000488281
28 0.0280762 0.0932617 -0.000488281
30 0.0275879 0.0883789 -0.000732422
32 0.027832 0.083252 -0.000244141
34 0.029541 0.0776367 -0.000244141
36 0.0275879 0.0708008 -0.000488281
38 0.0288086 0.0673828 -0.000732422
40 0.0280762 0.0620117 -0.000488281
42 0.0263672 0.0583496 -0.000976563
44 0.0285645 0.0588379 -0.000488281
46 0.027832 0.0549316 -0.000976563
48 0.0270996 0.0478516 -0.000488281
50 0.0266113 0.048584 -0.000488281
52 0.0270996 0.0461426 -0.000488281
54 0.0283203 0.0437012 -0.000488281
56 0.027832 0.0397949 -0.000732422
58 0.0266113 0.0373535 -0.000732422
60 0.0292969 0.0383301 -0.000244141
62 0.0256348 0.0339355 -0.000732422
64 0.0256348 0.0314941 -0.000732422
66 0.0253906 0.0297852 -0.000732422
68 0.0290527 0.0307617 -0.000488281
70 0.0288086 0.0249023 -0.000244141
72 0.0283203 0.0244141 -0.000244141
74 0.0273438 0.0258789 -0.000488281
76 0.0290527 0.026123 -0.000488281
78 0.0270996 0.0185547 -0.000732422
80 0.0314941 0.0234375 -0.000244141
82 0.0292969 0.0212402 -0.000732422
84 0.0270996 0.0197754 -0.000488281
86 0.0270996 0.0148926 -0.000488281
88 0.0317383 0.0180664 -0.000488281
90 0.0292969 0.0175781 -0.000732422
92 0.0275879 0.0136719 -0.000732422
94 0.026123 0.0136719 -0.000732422
96 0.0292969 0.0134277 -0.000488281
98 0.0280762 0.0151367 -0.000488281
100 0.0292969 0.0131836 -0.000488281
102 0.0266113 0.0136719 -0.000732422
