Delay X Y X Y
2341000 0 0 0.0014267 0.00036621
2341100 0 0 0.0015335 0.00028992
2341200 0 0 0.0016403 0.00028229
2341299.9 0 0 0.0017014 0.00031281
2341399.9 0 0 0.0017624 0.00035095
2341499.9 0 0 0.0018234 0.00041962
2341599.8 0 0 0.0018616 0.00041962
2341699.8 0 0 0.0018463 0.0003891
2341799.8 0 0 0.0017548 0.00032044
2341899.7 0 0 0.0017929 0.00028992
2341999.7 0 0 0.001854 0.00028992
2342099.7 0 0 0.0018768 0.00027466
2342199.6 0 0 0.0018311 0.000206
2342299.6 0 0 0.0017395 0.00021362
2342399.6 0 0 0.0017929 0.00034333
2342499.6 0 0 0.0019226 0.00036621
2342599.5 0 0 0.0018463 0.00032044
2342699.5 0 0 0.0016861 0.00028992
2342799.5 0 0 0.0017395 0.00026703
2342899.4 0 0 0.001854 0.00028229
2342999.4 0 0 0.0018463 0.00028229
2343099.4 0 0 0.0018463 0.0003891
2343199.3 0 0 0.0017319 0.00044251
2343299.3 0 0 0.001648 0.0003891
2343399.3 0 0 0.0017624 0.0003357
2343499.2 0 0 0.0018387 0.0002594
2343599.2 0 0 0.0017853 0.00027466
2343699.2 0 0 0.0017929 0.00032807
2343799.2 0 0 0.0018997 0.00029755
2343899.1 0 0 0.0019455 0.00031281
2343999.1 0 0 0.0018997 0.00037384
2344099.1 0 0 0.0018005 0.0003891
2344199 0 0 0.0017548 0.00032807
2344299 0 0 0.0018311 0.00032807
2344399 0 0 0.0019531 0.00028229
2344498.9 0 0 0.0019989 0.00022125
2344598.9 0 0 0.0019226 0.00024414
2344698.9 0 0 0.0018158 0.00025177
2344798.8 0 0 0.0018005 0.000206
2344898.8 0 0 0.0017929 0.00023651
2344998.8 0 0 0.0018768 0.00027466
2345098.8 0 0 0.0019531 0.00021362
2345198.7 0 0 0.0019226 0.000206
2345298.7 0 0 0.0019226 0.0002594
2345398.7 0 0 0.0018997 0.00034333
2345498.6 0 0 0.0018158 0.00026703
2345598.6 0 0 0.0017777 0.000206
2345698.6 0 0 0.0017929 0.00019074
2345798.5 0 0 0.0018158 0.00030518
2345898.5 0 0 0.001854 0.00041962
2345998.5 0 0 0.0019379 0.00041199
2346098.4 0 0 0.0018768 0.00035858
2346198.4 0 0 0.0017777 0.00035095
2346298.4 0 0 0.001709 0.00035858
2346398.4 0 0 0.0017166 0.00032807
2346498.3 0 0 0.0018311 0.00032044
2346598.3 0 0 0.0018921 0.00034333
2346698.3 0 0 0.001854 0.00028992
2346798.2 0 0 0.0018082 0.00035858
2346898.2 0 0 0.0017395 0.00041199
2346998.2 0 0 0.0016861 0.00031281
2347098.1 0 0 0.0017548 0.00024414
2347198.1 0 0 0.0018921 0.00028229
2347298.1 0 0 0.001976 0.00038147
2347398 0 0 0.0018768 0.00047302
2347498 0 0 0.0018387 0.00048829
2347598 0 0 0.0018463 0.00041199
2347698 0 0 0.0018158 0.00035858
2347797.9 0 0 0.0017243 0.00036621
2347897.9 0 0 0.0016785 0.00036621
2347997.9 0 0 0.0016251 0.00032807
2348097.8 0 0 0.001648 0.00028992
2348197.8 0 0 0.0016327 0.00031281
2348297.8 0 0 0.0015869 0.00035095
2348397.7 0 0 0.0015564 0.00036621
2348497.7 0 0 0.0015488 0.00036621
2348597.7 0 0 0.0015183 0.00027466
2348697.6 0 0 0.0015106 0.00022888
2348797.6 0 0 0.0015488 0.00025177
2348897.6 0 0 0.0016708 0.00023651
2348997.6 0 0 0.001709 0.00022125
2349097.5 0 0 0.0016556 0.00026703
2349197.5 0 0 0.0015946 0.00034333
2349297.5 0 0 0.0015869 0.00029755
2349397.4 0 0 0.0016937 0.00022888
2349497.4 0 0 0.0018463 0.00016022
2349597.4 0 0 0.0018082 0.0001297
2349697.3 0 0 0.0017853 0.00015259
2349797.3 0 0 0.0018692 0.00018311
2349897.3 0 0 0.0018845 0.00025177
2349997.2 0 0 0.0017624 0.000206
2350097.2 0 0 0.0016632 0.00018311
2350197.2 0 0 0.0016708 0.00019074
2350297.2 0 0 0.0016861 0.00021362
2350397.1 0 0 0.0017243 0.000206
2350497.1 0 0 0.0017243 0.00022125
2350597.1 0 0 0.0018005 0.00028992
2350697 0 0 0.00177 0.00025177
2350797 0 0 0.0016327 0.000206
2350897 0 0 0.0016785 0.00027466
2350996.9 0 0 0.001709 0.00034333
2351096.9 0 0 0.0017777 0.00034333
2351196.9 0 0 0.0019302 0.00034333
2351296.8 0 0 0.0020066 0.0003891
2351396.8 0 0 0.0019684 0.00042725
2351496.8 0 0 0.0019531 0.00036621
2351596.8 0 0 0.0018234 0.00034333
2351696.7 0 0 0.00177 0.00041199
2351796.7 0 0 0.0017471 0.00041962
2351896.7 0 0 0.0018692 0.00038147
2351996.6 0 0 0.0020218 0.00039673
2352096.6 0 0 0.0020066 0.00037384
