Delay X Y X Y
-2667000 0 0 0.00012207 -8.3924E-5
-2647000 0 0 0.00016785 -0.00010681
-2627000 0 0 0.00016022 -0.00015259
-2607000.1 0 0 0.00019074 -5.3406E-5
-2587000.1 0 0 0.00018311 -5.3406E-5
-2567000.1 0 0 0.00013733 4.5777E-5
-2547000.2 0 0 0.00015259 0.0001297
-2527000.2 0 0 0.0002594 0.00011444
-2507000.2 0 0 0.0002594 5.3406E-5
-2487000.3 0 0 0.00015259 7.6295E-6
-2467000.3 0 0 0.00015259 3.0518E-5
-2447000.3 0 0 0.00017548 3.8147E-5
-2427000.3 0 0 0.00019837 -2.2888E-5
-2407000.4 0 0 0.00018311 -7.6295E-6
-2387000.4 0 0 0.00019074 -1.5259E-5
-2367000.4 0 0 0.00015259 -5.3406E-5
-2347000.5 0 0 0.00014496 -3.8147E-5
-2327000.5 0 0 0.00014496 -4.5777E-5
-2307000.5 0 0 0.00017548 -6.1036E-5
-2287000.6 0 0 0.0002594 -6.1036E-5
-2267000.6 0 0 0.00028992 -2.2888E-5
-2247000.6 0 0 0.00026703 -5.3406E-5
-2227000.7 0 0 0.00029755 -6.8665E-5
-2207000.7 0 0 0.00029755 -5.3406E-5
-2187000.7 0 0 0.0002594 4.5777E-5
-2167000.7 0 0 0.00021362 8.3924E-5
-2147000.8 0 0 0.00026703 4.5777E-5
-2127000.8 0 0 0.00030518 5.3406E-5
-2107000.8 0 0 0.000206 2.2888E-5
-2087000.9 0 0 0.000206 0
-2067000.9 0 0 0.00019837 -4.5777E-5
-2047000.9 0 0 0.00017548 -6.1036E-5
-2027001 0 0 0.00017548 5.3406E-5
-2007001 0 0 6.8665E-5 9.9183E-5
-1987001 0 0 9.1553E-5 0
-1967001.1 0 0 0.00015259 -7.6295E-6
-1947001.1 0 0 0.00011444 7.6294E-5
-1927001.1 0 0 0.00019837 -1.5259E-5
-1907001.1 0 0 0.00022125 -4.5777E-5
-1887001.2 0 0 0.00016022 6.1036E-5
-1867001.2 0 0 0.00013733 0.00016022
-1847001.2 0 0 0.00016785 0.00014496
-1827001.3 0 0 0.00016785 -7.6295E-6
-1807001.3 0 0 0.00013733 -9.9183E-5
-1787001.3 0 0 0.00016785 4.5777E-5
-1767001.4 0 0 0.00018311 0.00014496
-1747001.4 0 0 0.00016022 0.00015259
-1727001.4 0 0 0.00011444 3.0518E-5
-1707001.4 0 0 0.00013733 -6.8665E-5
-1687001.5 0 0 0.00021362 -5.3406E-5
-1667001.5 0 0 0.00022125 -6.1036E-5
-1647001.5 0 0 0.00025177 -1.5259E-5
-1627001.6 0 0 0.000206 7.6295E-6
-1607001.6 0 0 0.00018311 0
-1587001.6 0 0 0.000206 3.0518E-5
-1567001.7 0 0 0.00016022 7.6294E-5
-1547001.7 0 0 0.00016785 -2.2888E-5
-1527001.7 0 0 0.00016785 -8.3924E-5
-1507001.8 0 0 0.00012207 -8.3924E-5
-1487001.8 0 0 0.00019074 -6.1036E-5
-1467001.8 0 0 0.00032807 -4.5777E-5
-1447001.8 0 0 0.00026703 0
-1427001.9 0 0 0.00016785 2.2888E-5
-1407001.9 0 0 0.00027466 2.2888E-5
-1387001.9 0 0 0.00035095 6.8665E-5
-1367002 0 0 0.00028992 0
-1347002 0 0 0.0002594 -5.3406E-5
-1327002 0 0 0.00031281 -2.2888E-5
-1307002.1 0 0 0.00031281 -4.5777E-5
