Delay X Y R Y
1500000 0 0 1.5259E-5 8.1063E-6
1510000 -4.7684E-7 0 2.9564E-5 2.3842E-5
1520000 0 0 1.955E-5 4.2916E-6
1530000 0 0 3.9578E-5 -1.955E-5
1539999.9 -4.7684E-7 0 3.7194E-5 -5.7221E-6
1549999.9 -4.7684E-7 0 6.5804E-5 -1.5259E-5
1559999.9 0 0 5.7698E-5 -3.3856E-5
1569999.9 -4.7684E-7 -4.7684E-7 4.2916E-5 -1.6213E-5
1579999.9 0 -4.7684E-7 3.8624E-5 5.2452E-6
1589999.9 -4.7684E-7 0 2.6226E-5 1.0967E-5
1599999.9 0 0 2.2888E-5 1.4782E-5
1609999.8 -4.7684E-7 0 2.0981E-5 4.2916E-6
1619999.8 0 0 1.4305E-5 1.0967E-5
1629999.8 0 0 3.9578E-5 3.9578E-5
1639999.8 -4.7684E-7 0 4.6253E-5 3.767E-5
1649999.8 0 0 4.53E-5 3.0995E-5
1659999.8 0 0 6.0559E-5 1.3828E-5
1669999.8 0 0 4.8638E-5 6.1989E-6
1679999.7 0 0 1.2875E-5 4.7684E-7
1689999.7 0 0 1.7166E-5 1.5259E-5
1699999.7 0 0 2.3365E-5 2.2888E-5
1709999.7 0 0 1.8597E-5 1.8597E-5
1719999.7 -4.7684E-7 0 1.6689E-5 -1.4305E-6
1729999.7 0 0 2.6226E-5 -2.5749E-5
1739999.6 -4.7684E-7 0 1.7643E-5 -1.6689E-5
1749999.6 0 0 1.1921E-5 2.861E-6
1759999.6 -4.7684E-7 0 2.9564E-5 7.6295E-6
1769999.6 -4.7684E-7 0 2.0027E-5 3.3379E-6
1779999.6 -4.7684E-7 0 2.861E-5 2.4319E-5
1789999.6 -4.7684E-7 0 3.9578E-5 3.4333E-5
1799999.6 0 0 4.4346E-5 3.1948E-5
1809999.5 0 0 2.4319E-5 2.3842E-5
1819999.5 0 0 1.8597E-5 1.6213E-5
1829999.5 0 0 3.6717E-5 -1.9074E-5
1839999.5 0 0 7.391E-5 -3.3379E-5
1849999.5 0 0 5.2929E-5 -2.861E-6
1859999.5 -4.7684E-7 0 2.0027E-5 1.7643E-5
1869999.4 0 0 2.5749E-5 -2.3842E-6
1879999.4 -4.7684E-7 0 3.4809E-5 3.8147E-6
1889999.4 -4.7684E-7 0 3.0041E-5 1.3828E-5
1899999.4 -4.7684E-7 0 4.3869E-5 1.1444E-5
1909999.4 0 0 3.2902E-5 -3.8147E-6
1919999.4 0 0 6.6758E-6 6.1989E-6
1929999.4 0 0 1.7643E-5 -1.812E-5
1939999.3 0 0 3.3856E-5 -3.3856E-5
1949999.3 0 0 1.3828E-5 -1.2875E-5
1959999.3 0 0 2.9564E-5 2.0981E-5
1969999.3 0 0 2.9564E-5 -2.3842E-5
1979999.3 0 0 7.6294E-5 -7.4387E-5
1989999.3 0 0 6.9619E-5 -6.7235E-5
1999999.2 0 0 3.0995E-5 -3.0041E-5
2009999.2 0 0 3.8147E-5 1.9074E-6
2019999.2 0 0 5.6267E-5 3.1948E-5
2029999.2 0 0 6.6758E-5 4.53E-5
2039999.2 0 0 5.3883E-5 3.1948E-5
2049999.2 0 0 3.1948E-5 -5.2452E-6
2059999.2 0 0 3.5286E-5 -3.5763E-5
2069999.1 0 0 5.436E-5 -4.1962E-5
2079999.1 -4.7684E-7 0 2.4796E-5 -2.3365E-5
2089999.1 0 0 5.1022E-5 -3.2902E-5
2099999.1 0 0 5.7698E-5 -3.767E-5
2109999.1 0 0 5.1976E-5 -1.3828E-5
2119999.1 0 0 3.1472E-5 -1.9074E-6
2129999 0 0 1.1444E-5 -7.1526E-6
2139999 0 0 2.9564E-5 -1.4782E-5
2149999 0 0 2.4796E-5 -2.0027E-5
2159999 0 0 2.4796E-5 -2.3365E-5
2169999 -4.7684E-7 0 1.3828E-5 -1.2398E-5
2179999 -4.7684E-7 0 1.4305E-5 8.5831E-6
2189999 -4.7684E-7 0 1.955E-5 1.955E-5
2199998.9 0 0 2.5749E-5 2.6226E-5
2209998.9 -4.7684E-7 0 3.6717E-5 2.5749E-5
2219998.9 -4.7684E-7 0 3.9578E-5 -1.1444E-5
2229998.9 0 0 3.8147E-5 -2.9087E-5
2239998.9 0 0 2.2888E-5 -2.2412E-5
2249998.9 -4.7684E-7 0 2.2412E-5 -2.1935E-5
2259998.8 0 0 3.0518E-5 -2.9087E-5
2269998.8 0 0 1.4782E-5 -4.7684E-6
2279998.8 0 0 1.5259E-5 1.0967E-5
2289998.8 0 0 1.7643E-5 1.5259E-5
2299998.8 0 0 9.06E-6 -8.1063E-6
2309998.8 0 0 0 0
2319998.8 0 0 2.861E-5 1.4305E-5
2329998.7 0 0 5.1976E-5 1.4305E-5
