Delay X Y R DEG
1749999.6 0 0 0.0026546 16.117
1759999.6 0 0 0.0027881 15.664
1769999.6 0 0 0.0027499 16
1779999.6 -4.7684E-7 0 0.002739 14.274
1789999.6 -4.7684E-7 0 0.0028291 13.516
1799999.6 -4.7684E-7 0 0.0028558 13.391
1809999.5 0 0 0.00276 12.695
1819999.5 0 0 0.0026245 13.133
1829999.5 0 0 0.0025902 13.961
1839999.5 0 0 0.0025149 17.219
1849999.5 -4.7684E-7 0 0.0025592 19.031
1859999.5 0 0 0.002687 18.578
1869999.4 0 0 0.0026741 17.086
1879999.4 0 0 0.0026899 14.977
1889999.4 -4.7684E-7 -4.7684E-7 0.002584 13.109
1899999.4 0 0 0.0026021 14.461
1909999.4 -4.7684E-7 0 0.0027433 15.445
1919999.4 -4.7684E-7 0 0.0028649 15.25
1929999.4 0 0 0.0028911 15.594
1939999.3 -4.7684E-7 0 0.0028534 14.875
1949999.3 -4.7684E-7 0 0.0026741 16.274
1959999.3 0 0 0.0027409 17.055
1969999.3 -4.7684E-7 0 0.002852 14.891
1979999.3 -4.7684E-7 0 0.0029712 16.547
1989999.3 0 0 0.0030542 18.633
1999999.2 0 0 0.0030017 19.82
2009999.2 0 0 0.0031028 20.25
2019999.2 0 0 0.0032239 19.235
2029999.2 0 0 0.0032373 16.906
2039999.2 0 0 0.0031162 17.524
2049999.2 0 0 0.0030089 18.586
2059999.2 0 0 0.0029531 17.742
2069999.1 -4.7684E-7 0 0.0029922 16.766
2079999.1 0 0 0.0031338 19.297
2089999.1 -4.7684E-7 0 0.0031715 18.977
2099999.1 0 0 0.0030899 17.375
2109999.1 0 0 0.0031743 19.031
2119999.1 0 0 0.0032869 19.289
2129999 0 0 0.0033989 17.235
2139999 0 0 0.0034757 15.899
2149999 -4.7684E-7 0 0.0035305 14.688
2159999 0 0 0.0034242 14.813
2169999 0 0 0.0033531 15.094
2179999 0 0 0.0034285 14.344
2189999 0 0 0.0034762 14.391
2199998.9 0 0 0.0034132 14.078
2209998.9 -4.7684E-7 0 0.0034175 16.672
2219998.9 -4.7684E-7 0 0.0035444 19.008
2229998.9 0 0 0.0036745 17.844
2239998.9 0 0 0.0036102 17.391
2249998.9 0 0 0.0035629 18.047
2259998.8 0 0 0.0036693 17.406
2269998.8 0 0 0.0037365 15.938
2279998.8 0 0 0.0037637 18.828
2289998.8 -4.7684E-7 0 0.0038848 19.336
2299998.8 0 0 0.0040169 17.086
2309998.8 0 0 0.0040369 15.867
2319998.8 0 0 0.0041437 14.609
2329998.7 0 0 0.0042043 14.633
2339998.7 0 0 0.0042506 17.43
2349998.7 -4.7684E-7 0 0.0042043 19.953
2359998.7 -4.7684E-7 0 0.0041004 18.672
2369998.7 0 0 0.0040431 16.735
2379998.7 0 0 0.0041271 16.578
2389998.7 0 0 0.0041514 19.25
2399998.6 -4.7684E-7 0 0.0041123 19.43
2409998.6 -4.7684E-7 0 0.0041709 19.563
2419998.6 0 0 0.0041676 19.055
2429998.6 0 0 0.0041952 20.039
2439998.6 0 0 0.0041705 18.555
2449998.6 -4.7684E-7 0 0.0041404 17.852
2459998.5 0 0 0.0042272 17.399
2469998.5 0 0 0.0043111 17.891
2479998.5 0 0 0.0042162 19.235
2489998.5 -4.7684E-7 0 0.0041228 18.953
2499998.5 0 0 0.004189 19.25
2509998.5 0 0 0.0040841 20.117
2519998.5 0 0 0.003953 18.742
