Delay X Y X Y
-2667000 0 0 9.9183E-5 3.0518E-5
-2647000 0 0 8.3924E-5 -1.5259E-5
-2627000 0 0 0.00015259 4.5777E-5
-2607000.1 0 0 0.0002594 -3.0518E-5
-2587000.1 0 0 0.00027466 6.1036E-5
-2567000.1 0 0 0.00017548 8.3924E-5
-2547000.2 0 0 0.00019837 4.5777E-5
-2527000.2 0 0 0.00025177 7.6294E-5
-2507000.2 0 0 0.00027466 4.5777E-5
-2487000.3 0 0 0.00019837 0
-2467000.3 0 0 0.00019837 2.2888E-5
-2447000.3 0 0 0.00021362 3.8147E-5
-2427000.3 0 0 0.00022888 8.3924E-5
-2407000.4 0 0 0.00024414 9.1553E-5
-2387000.4 0 0 0.00019074 9.9183E-5
-2367000.4 0 0 0.00013733 7.6295E-6
-2347000.5 0 0 0.00013733 7.6295E-6
-2327000.5 0 0 0.00016022 3.0518E-5
-2307000.5 0 0 0.0001297 3.0518E-5
-2287000.6 0 0 0.00011444 4.5777E-5
-2267000.6 0 0 0.00019837 6.8665E-5
-2247000.6 0 0 0.00019074 4.5777E-5
-2227000.7 0 0 0.00016785 1.5259E-5
-2207000.7 0 0 0.00016785 2.2888E-5
-2187000.7 0 0 0.000206 0
-2167000.7 0 0 0.00012207 0
-2147000.8 0 0 0.00015259 3.8147E-5
-2127000.8 0 0 0.00016785 3.8147E-5
-2107000.8 0 0 0.00017548 -1.5259E-5
-2087000.9 0 0 0.00016022 7.6295E-6
-2067000.9 0 0 0.00016022 3.8147E-5
-2047000.9 0 0 0.00013733 6.8665E-5
-2027001 0 0 0.0001297 4.5777E-5
-2007001 0 0 0.00017548 7.6295E-6
-1987001 0 0 0.00015259 3.8147E-5
-1967001.1 0 0 0.0001297 7.6294E-5
-1947001.1 0 0 0.00011444 3.8147E-5
-1927001.1 0 0 9.9183E-5 3.8147E-5
-1907001.1 0 0 0.00013733 6.8665E-5
-1887001.2 0 0 9.9183E-5 6.1036E-5
-1867001.2 0 0 0.00015259 5.3406E-5
-1847001.2 0 0 0.00021362 9.1553E-5
-1827001.3 0 0 0.00017548 7.6294E-5
-1807001.3 0 0 0.0001297 4.5777E-5
-1787001.3 0 0 0.00015259 9.1553E-5
-1767001.4 0 0 0.00021362 6.1036E-5
-1747001.4 0 0 0.00024414 3.0518E-5
-1727001.4 0 0 0.00021362 1.5259E-5
-1707001.4 0 0 0.000206 2.2888E-5
-1687001.5 0 0 0.00017548 3.8147E-5
-1667001.5 0 0 0.00016022 3.0518E-5
-1647001.5 0 0 0.0001297 0
-1627001.6 0 0 0.00014496 0
-1607001.6 0 0 0.00015259 4.5777E-5
-1587001.6 0 0 0.00018311 6.1036E-5
-1567001.7 0 0 0.00019837 7.6294E-5
-1547001.7 0 0 0.00017548 1.5259E-5
-1527001.7 0 0 0.00016022 -2.2888E-5
-1507001.8 0 0 0.00015259 2.2888E-5
-1487001.8 0 0 0.00016785 3.8147E-5
-1467001.8 0 0 0.00016785 3.0518E-5
-1447001.8 0 0 0.00013733 0
-1427001.9 0 0 0.00015259 4.5777E-5
-1407001.9 0 0 0.00011444 4.5777E-5
-1387001.9 0 0 0.0001297 3.0518E-5
-1367002 0 0 0.000206 5.3406E-5
-1347002 0 0 0.0002594 5.3406E-5
-1327002 0 0 0.00017548 5.3406E-5
-1307002.1 0 0 0.000206 3.8147E-5
-1287002.1 0 0 0.00017548 -3.8147E-5
-1267002.1 0 0 0.00016022 -2.2888E-5
-1247002.2 0 0 0.000206 0
-1227002.2 0 0 0.00016022 6.1036E-5
-1207002.2 0 0 0.000206 7.6295E-6
-1187002.2 0 0 0.00019837 1.5259E-5
-1167002.3 0 0 0.00013733 6.8665E-5
-1147002.3 0 0 0.00019837 3.0518E-5
-1127002.3 0 0 0.000206 -1.5259E-5
-1107002.4 0 0 0.00014496 3.0518E-5
-1087002.4 0 0 0.0001297 5.3406E-5
-1067002.4 0 0 0.00019074 4.5777E-5
-1047002.5 0 0 0.000206 6.8665E-5
-1027002.5 0 0 0.00024414 3.8147E-5
-1007002.5 0 0 0.00027466 9.1553E-5
-987002.55 0 0 0.00023651 6.1036E-5
-967002.58 0 0 0.00016022 0.00010681
-947002.61 0 0 0.000206 0.00013733
-927002.64 0 0 0.00019074 6.1036E-5
-907002.67 0 0 0.00017548 -2.2888E-5
-887002.7 0 0 0.00021362 -1.5259E-5
-867002.73 0 0 0.00022888 3.8147E-5
-847002.76 0 0 0.00021362 5.3406E-5
-827002.79 0 0 0.000206 4.5777E-5
-807002.82 0 0 0.000206 7.6295E-6
-787002.85 0 0 0.00019074 4.5777E-5
-767002.88 0 0 0.000206 6.1036E-5
-747002.91 0 0 0.00019837 9.1553E-5
-727002.95 0 0 0.00018311 6.1036E-5
-707002.98 0 0 0.00017548 7.6294E-5
-687003.01 0 0 0.00016785 5.3406E-5
-667003.04 0 0 0.00023651 5.3406E-5
-647003.07 0 0 0.00022888 4.5777E-5
-627003.1 0 0 0.00019074 0
-607003.13 0 0 0.00019837 0
